product_code,semi_product_code,step_num,step_type,step_name,step_desc,work_time,checker
SOIRP00,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SOIRP00,,2,제조공정,수상 용해,수상용해조에 11**을 넣고 78-80℃로 가온용해한다,,
SOIRP00,,3,제조공정,"점증제
용해","위상에 21**을 넣고 78-80℃로 가온용해한다
(Natrosol을 뭉치지 않게 조금씩 퍼뜨려 투입한다)",,
SOIRP00,,4,제조공정,이   송,메인탱크로 위상을 여과 이송후 교반한다,,
SOIRP00,,5,제조공정,혼   합,"3110, 4110을 투입 교반한 후 50℃까지 냉각한다.",,
SOIRP00,,6,제조공정,혼   합,"51**을 투입 교반한다
(51**파트는 미리 Sterrer로 충분히 교반한다)",,
SOIRP00,,7,제조공정,"혼   합
냉   각","61**, 71**을 차례로 투입 교반하고, 냉각한다
(두 파트끼리 섞이면 침전물이 생기므로 시차를 두고 투입할 것)",,
SOIRP00,,8,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SOIRP00,,100,유의사항,작업자 유의사항,* 투명 점액상,,
SORSLM2,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SORSLM2,,2,제조공정,"점증제
분산",별도용해조에서 Glyerin(1240)에 Esaflor(1230)을 넣고 Premix한다,,
SORSLM2,,3,제조공정,수상 용해,"수상용해조에 11**, 12**을 넣고 78-80℃로 가온용해한다",,
SORSLM2,,4,제조공정,유상 용해,"유상용해조에 21**, 22**를 넣고  78-80℃로 가온용해한다",,
SORSLM2,,5,제조공정,이  송,"메인탱크로 수상을 여과이송하고 STAC-30(1310)을 
여과투입하여 혼합교반 한다. ",,
SORSLM2,,6,제조공정,유  화,"메인탱크로 유상을 여과이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 10분 )",,
SORSLM2,,7,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SORSLM2,,8,제조공정,"향, 첨가제
투입","31**, 41**, 51**, 61**, 71**, 8110을 투입교반하고,
 냉각, 탈포한다",,
SORSLM2,,9,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SOSPLM2,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SOSPLM2,,2,제조공정,"점증제
분산","1110,1120을 Stirrer로 premix한 후 수상용해조에 1210(실온)
와 함께 투입 5분간 분산한다.",,
SRHC001,BSRHC0010,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SRHC002,BSRHC0020,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SRHC003,BSRHC0030,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SRHC001,BSRHC0010,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SRHC002,BSRHC0020,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SRHC003,BSRHC0030,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SRHC001,BSRHC0010,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940을 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SRHC002,BSRHC0020,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940을 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SRHC003,BSRHC0030,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940을 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SRHC001,BSRHC0010,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SRHC002,BSRHC0020,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SRHC003,BSRHC0030,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SRHC001,BSRHC0010,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SRHC002,BSRHC0020,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SRHC003,BSRHC0030,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SRHC001,BSRHC0010,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SRHC002,BSRHC0020,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SRHC003,BSRHC0030,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SRHC001,BSRHC0010,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다. (31**은 미리 분산한다)
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SRHC002,BSRHC0020,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다. (31**은 미리 분산한다)
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SRHC003,BSRHC0030,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다. (31**은 미리 분산한다)
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
